,symbol,ID,GrupID,PF14,PF19,PF23,PF39,PF46,PF15,PF32,PF33,PF43,PF47
210513_s_at,VEGFA,210513_s_at,2,8.46745297847146,7.87185037901973,8.51913782243908,9.16182360527407,8.05695806384652,7.4767382851411,6.83475069912033,7.18743577876423,7.12778619385729,7.40030255044925
206155_at,ABCC2,206155_at,2,6.91134474832036,6.34636218672178,7.30180557031776,8.18695614379364,6.84724088470913,6.21456703495089,5.96808940267986,5.79361899320517,6.19591490802712,6.22823045864955
219529_at,CLIC3,219529_at,2,8.20556604810006,6.10381343573198,7.54215918065716,8.82616564916687,6.47813154688109,5.39190230398048,5.33329552792998,5.28846189566835,5.76196917242903,5.38345612747837
221042_s_at,CLMN,221042_s_at,2,8.39285545955937,7.31202128430355,8.94130307451144,9.47441713613001,7.42971630395908,7.07453120834666,6.40262993972727,7.03361013456412,7.65845586597983,7.18700354374787
215856_at,SIGLEC15,215856_at,2,8.01382772676601,7.96537920788122,8.9486791493698,9.67376432580606,7.60744289810872,7.39775615716182,7.46272850810197,7.26364576049642,7.35879134678835,7.45702071991097
209917_s_at,TP53TG1,209917_s_at,2,7.61295123423354,7.1976569714477,8.77668306834392,8.84976305460083,7.24266864637019,6.66575468472852,6.41843229865709,6.95848817703305,6.65724664970193,6.54408169327375
218924_s_at,CTBS,218924_s_at,2,7.95282374751465,7.39964131497549,9.02805877954451,8.78779930185821,8.11651397352387,6.83586256400447,7.59854066383171,7.11147984984026,7.35750406340317,7.13992936266782
209822_s_at,VLDLR,209822_s_at,2,9.69207837016919,7.76976821670918,10.0574051106139,10.165292125067,8.64180437237869,6.69069800025835,7.60789271382601,7.86584558238669,8.42357159900955,7.74779800241141
204818_at,HSD17B2,204818_at,2,9.36570598886355,7.81416130498948,9.21313987656165,8.50180799833473,7.74144611426171,6.86904594635276,7.62293368844238,6.51533130657482,6.98478253379917,7.02526665055753
202912_at,ADM,202912_at,2,10.2961919938308,8.75427469520809,10.2001585126653,10.4119645811376,9.6184015946531,7.59324747100596,8.47507852672165,6.98768278812282,7.90529403302353,7.98346713606452
203740_at,MPHOSPH6,203740_at,2,11.6974444325161,11.6570668547892,12.1741213359061,12.4885060350739,11.996075820409,10.417531345993,10.9602687337199,9.80869163449918,9.88835256049021,10.3693319739102
219806_s_at,SMCO4,219806_s_at,2,11.357721938422,10.7807171951959,10.7697361337005,11.795229108223,10.1148217563083,9.83082451862497,9.70598882635093,9.64752915851903,9.07180835095497,10.1632562352533
205379_at,CBR3,205379_at,2,10.2320051717143,9.74208306468395,9.51965082137734,10.2416547281802,9.05722544281468,8.30718329968836,8.57151912169237,8.02411790198815,8.33026286381869,8.6514160970314
213831_at,HLA-DQA1,213831_at,2,10.2241802695628,9.90997305998083,10.5562008265104,10.8816522030149,8.06135334847219,6.45289752081063,6.17115711575738,5.96532035612853,6.07332400768169,6.43005951598347
209480_at,HLA-DQB1,209480_at,2,7.6028302830562,8.08202680605405,8.45983689736216,8.69460860477948,6.6456721448135,5.01512733082424,5.06324113495838,5.02196597077683,5.00498595730107,4.98769449665523
221489_s_at,SPRY4,221489_s_at,2,10.1191979982677,9.80997416984205,9.5434779235941,10.7723165456204,9.84887438911803,9.13769392948112,8.70796763052625,8.89055978673689,9.00179932055454,8.98116946172982
208872_s_at,REEP5,208872_s_at,2,11.8659212971943,11.1722053889809,11.117570210657,12.4532543886081,11.0676779406369,10.4862055712343,9.42854563220114,10.6457506999053,10.0267633795365,9.62862416948897
202862_at,FAH,202862_at,2,10.1867532553618,8.72685066974872,8.0666072239942,9.91339825049359,8.75486082204063,8.03777585809611,7.66840867633374,8.42074443380126,7.71876990337466,7.14064955575601
